 Number | Obsoleted |        Reference
RFC1557 |           | Choi, U., Chon, K., and H. Park, "Korean Character Encoding for Internet Messages", RFC 1557, December 1993.
RFC1558 |   RFC1960 | Howes, T., "A String Representation of LDAP Search Filters", RFC 1558, December 1993.
RFC1559 |           | Saperia, J., "DECnet Phase IV MIB Extensions", RFC 1559, December 1993.
RFC1560 |           | Leiner, B. and Y. Rekhter, "The MultiProtocol Internet", RFC 1560, December 1993.
RFC1561 |           | Piscitello, D., "Use of ISO CLNP in TUBA Environments", RFC 1561, December 1993.
RFC1562 |           | Michaelson, G. and M. Prior, "Naming Guidelines for the AARNet X.500 Directory Service", RFC 1562, December 1993.
RFC1563 |   RFC1896 | Borenstein, N., "The text/enriched MIME Content-type", RFC 1563, January 1994.
RFC1564 |           | Barker, P. and R. Hedberg, "DSA Metrics (OSI-DS 34 (v3))", RFC 1564, January 1994.
RFC1565 |   RFC2248 | Kille, S. and N. Freed, "Network Services Monitoring MIB", RFC 1565, January 1994.
RFC1566 |   RFC2249, RFC2789 | Kille, S. and N. Freed, "Mail Monitoring MIB", RFC 1566, January 1994.
RFC1567 |   RFC2605 | Mansfield, G. and S. Kille, "X.500 Directory Monitoring MIB", RFC 1567, January 1994.
RFC1568 |   RFC1645 | Gwinn, A., "Simple Network Paging Protocol - Version 1(b)", RFC 1568, January 1994.
RFC1569 |   RFC1703 | Rose, M., "Principles of Operation for the TPC.INT Subdomain: Radio Paging -- Technical Procedures", RFC 1569, January 1994.
RFC1570 |           | Simpson, W., Ed., "PPP LCP Extensions", RFC 1570, January 1994.
RFC1571 |           | Borman, D., "Telnet Environment Option Interoperability Issues", RFC 1571, January 1994.
RFC1572 |           | Alexander, S., Ed., "Telnet Environment Option", RFC 1572, January 1994.
RFC1573 |   RFC2233 | McCloghrie, K. and F. Kastenholz, "Evolution of the Interfaces Group of MIB-II", RFC 1573, January 1994.
RFC1574 |           | Hares, S. and C. Wittbrodt, "Essential Tools for the OSI Internet", RFC 1574, February 1994.
RFC1575 |           | Hares, S. and C. Wittbrodt, "An Echo Function for CLNP (ISO 8473)", RFC 1575, February 1994.
RFC1576 |           | Penner, J., "TN3270 Current Practices", RFC 1576, January 1994.
RFC1577 |   RFC2225 | Laubach, M., "Classical IP and ARP over ATM", RFC 1577, January 1994.
RFC1578 |   RFC1941 | Sellers, J., "FYI on Questions and Answers - Answers to Commonly Asked "Primary and Secondary School Internet User" Questions", RFC 1578, February 1994.
RFC1579 |           | Bellovin, S., "Firewall-Friendly FTP", RFC 1579, February 1994.
RFC1580 |           | EARN Staff, "Guide to Network Resource Tools", FYI 23, RFC 1580, March 1994.
RFC1581 |           | Meyer, G., "Protocol Analysis for Extensions to RIP to Support Demand Circuits", RFC 1581, February 1994.
RFC1582 |           | Meyer, G., "Extensions to RIP to Support Demand Circuits", RFC 1582, February 1994.
RFC1583 |   RFC2178 | Moy, J., "OSPF Version 2", RFC 1583, March 1994.
RFC1584 |           | Moy, J., "Multicast Extensions to OSPF", RFC 1584, March 1994.
RFC1585 |           | Moy, J., "MOSPF: Analysis and Experience", RFC 1585, March 1994.
RFC1586 |           | deSouza, O. and M. Rodrigues, "Guidelines for Running OSPF Over Frame Relay Networks", RFC 1586, March 1994.
RFC1587 |   RFC3101 | Coltun, R. and V. Fuller, "The OSPF NSSA Option", RFC 1587, March 1994.
RFC1588 |           | Postel, J. and C. Anderson, "White Pages Meeting Report", RFC 1588, February 1994.
RFC1589 |           | Mills, D., "A Kernel Model for Precision Timekeeping", RFC 1589, March 1994.
RFC1590 |   RFC2045, RFC2046, RFC2047, RFC2048, RFC2049 | Postel, J., "Media Type Registration Procedure", RFC 1590, March 1994.
RFC1591 |           | Postel, J., "Domain Name System Structure and Delegation", RFC 1591, March 1994.
RFC1592 |           | Wijnen, B., Carpenter, G., Curran, K., Sehgal, A., and G. Waters, "Simple Network Management Protocol Distributed Protocol Interface Version 2.0", RFC 1592, March 1994.
RFC1593 |           | McKenzie, W. and J. Cheng, "SNA APPN Node MIB", RFC 1593, March 1994.
RFC1594 |   RFC2664 | Marine, A., Reynolds, J., and G. Malkin, "FYI on Questions and Answers - Answers to Commonly asked "New Internet User" Questions", RFC 1594, March 1994.
RFC1595 |   RFC2558 | Brown, T. and K. Tesink, "Definitions of Managed Objects for the SONET/SDH Interface Type", RFC 1595, March 1994.
RFC1596 |   RFC1604 | Brown, T., Ed., "Definitions of Managed Objects for Frame Relay Service", RFC 1596, March 1994.
RFC1597 |   RFC1918 | Rekhter, Y., Moskowitz, B., Karrenberg, D., and G. de Groot, "Address Allocation for Private Internets", RFC 1597, March 1994.
RFC1598 |           | Simpson, W., "PPP in X.25", RFC 1598, March 1994.
RFC1599 |           | Kennedy, M., "Summary of 1500-1599", RFC 1599, January 1997.
RFC1600 |   RFC1610 | Postel, J., "Internet Official Protocol Standards", RFC 1600, March 1994.
RFC1601 |   RFC2850 | Huitema, C., "Charter of the Internet Architecture Board (IAB)", RFC 1601, March 1994.
RFC1602 |   RFC2026 | Internet Architecture Board and Internet Engineering Steering Group, "The Internet Standards Process -- Revision 2", RFC 1602, March 1994.
RFC1603 |   RFC2418 | Huizer, E. and D. Crocker, "IETF Working Group Guidelines and Procedures", RFC 1603, March 1994.
RFC1604 |   RFC2954 | Brown, T., Ed., "Definitions of Managed Objects for Frame Relay Service", RFC 1604, March 1994.
RFC1605 |           | Shakespeare, W., "SONET to Sonnet Translation", RFC 1605, April 1 1994.
RFC1606 |           | Onions, J., "A Historical Perspective On The Usage Of IP Version 9", RFC 1606, April 1 1994.
RFC1607 |           | Cerf, V., "A VIEW FROM THE 21ST CENTURY", RFC 1607, April 1 1994.
RFC1608 |           | Johannsen, T., Mansfield, G., Kosters, M., and S. Sataluri, "Representing IP Information in the X.500 Directory", RFC 1608, March 1994.
RFC1609 |           | Mansfield, G., Johannsen, T., and M. Knopper, "Charting Networks in the X.500 Directory", RFC 1609, March 1994.
RFC1610 |   RFC1720 | Postel, J., "Internet Official Protocol Standards", RFC 1610, July 1994.
RFC1611 |           | Austein, R. and J. Saperia, "DNS Server MIB Extensions", RFC 1611, May 1994.
RFC1612 |           | Austein, R. and J. Saperia, "DNS Resolver MIB Extensions", RFC 1612, May 1994.
RFC1613 |           | Forster, J., Satz, G., Glick, G., and R. Day, "cisco Systems X.25 over TCP (XOT)", RFC 1613, May 1994.
RFC1614 |           | Adie, C., "Network Access to Multimedia Information", RFC 1614, May 1994.
RFC1615 |           | Houttuin, J. and J. Craigie, "Migrating from X.400(84) to X.400(88)", RFC 1615, May 1994.
RFC1616 |           | RARE WG-MSG Task Force 88, Huizer, E., Ed., and J. Romaguera, Ed., "X.400(1988) for the Academic and Research Community in Europe", RFC 1616, May 1994.
RFC1617 |           | Barker, P., Kille, S., and T. Lenggenhager, "Naming and Structuring Guidelines for X.500 Directory Pilots", RFC 1617, May 1994.
RFC1618 |           | Simpson, W., "PPP over ISDN", RFC 1618, May 1994.
RFC1619 |   RFC2615 | Simpson, W., "PPP over SONET/SDH", RFC 1619, May 1994.
RFC1620 |           | Braden, B., Postel, J., and Y. Rekhter, "Internet Architecture Extensions for Shared Media", RFC 1620, May 1994.
RFC1621 |           | Francis, P., "Pip Near-term Architecture", RFC 1621, May 1994.
RFC1622 |           | Francis, P., "Pip Header Processing", RFC 1622, May 1994.
RFC1623 |   RFC1643 | Kastenholz, F., "Definitions of Managed Objects for the Ethernet-like Interface Types", RFC 1623, May 1994.
RFC1624 |           | Rijsinghani, A., Ed., "Computation of the Internet Checksum via Incremental Update", RFC 1624, May 1994.
RFC1625 |           | St. Pierre, M., Fullton, J., Gamiel, K., Goldman, J., Kahle, B., Kunze, J., Morris, H., and F. Schiettecatte, "WAIS over Z39.50-1988", RFC 1625, June 1994.
RFC1626 |   RFC2225 | Atkinson, R., "Default IP MTU for use over ATM AAL5", RFC 1626, May 1994.
RFC1627 |   RFC1918 | Lear, E., Fair, E., Crocker, D., and T. Kessler, "Network 10 Considered Harmful (Some Practices Shouldn't be Codified)", RFC 1627, July 1994.
RFC1628 |           | Case, J., Ed., "UPS Management Information Base", RFC 1628, May 1994.
RFC1629 |           | Colella, R., Callon, R., Gardner, E., and Y. Rekhter, "Guidelines for OSI NSAP Allocation in the Internet", RFC 1629, May 1994.
RFC1630 |           | Berners-Lee, T., "Universal Resource Identifiers in WWW: A Unifying Syntax for the Expression of Names and Addresses of Objects on the Network as used in the World-Wide Web", RFC 1630, June 1994.
RFC1631 |   RFC3022 | Egevang, K. and P. Francis, "The IP Network Address Translator (NAT)", RFC 1631, May 1994.
RFC1632 |   RFC2116 | Getchell, A., Ed., and S. Sataluri, Ed., "A Revised Catalog of Available X.500 Implementations", RFC 1632, May 1994.
RFC1633 |           | Braden, R., Clark, D., and S. Shenker, "Integrated Services in the Internet Architecture: an Overview", RFC 1633, June 1994.
RFC1634 |           | Allen, M., "Novell IPX Over Various WAN Media (IPXWAN)", RFC 1634, May 1994.
RFC1635 |           | Deutsch, P., Emtage, A., and A. Marine, "How to Use Anonymous FTP", FYI 24, RFC 1635, May 1994.
RFC1636 |           | Braden, R., Clark, D., Crocker, S., and C. Huitema, "Report of IAB Workshop on Security in the Internet Architecture - February 8-10, 1994", RFC 1636, June 1994.
RFC1637 |   RFC1706 | Manning, B. and R. Colella, "DNS NSAP Resource Records", RFC 1637, June 1994.
RFC1638 |   RFC2878 | Baker, F. and R. Bowen, "PPP Bridging Control Protocol (BCP)", RFC 1638, June 1994.
RFC1639 |           | Piscitello, D., "FTP Operation Over Big Address Records (FOOBAR)", RFC 1639, June 1994.
RFC1640 |           | Crocker, S., "The Process for Organization of Internet Standards Working Group (POISED)", RFC 1640, June 1994.
RFC1641 |           | Goldsmith, D. and M. Davis, "Using Unicode with MIME", RFC 1641, July 1994.
RFC1642 |   RFC2152 | Goldsmith, D. and M. Davis, "UTF-7 - A Mail-Safe Transformation Format of Unicode", RFC 1642, July 1994.
RFC1643 |   RFC3638 | Kastenholz, F., "Definitions of Managed Objects for the Ethernet-like Interface Types", RFC 1643, July 1994.
RFC1644 |   RFC6247 | Braden, R., "T/TCP -- TCP Extensions for Transactions Functional Specification", RFC 1644, July 1994.
RFC1645 |   RFC1861 | Gwinn, A., "Simple Network Paging Protocol - Version 2", RFC 1645, July 1994.
RFC1646 |           | Graves, C., Butts, T., and M. Angel, "TN3270 Extensions for LUname and Printer Selection", RFC 1646, July 1994.
RFC1647 |   RFC2355 | Kelly, B., "TN3270 Enhancements", RFC 1647, July 1994.
RFC1648 |           | Cargille, A., "Postmaster Convention for X.400 Operations", RFC 1648, July 1994.
RFC1649 |           | Hagens, R. and A. Hansen, "Operational Requirements for X.400 Management Domains in the GO-MHS Community", RFC 1649, July 1994.
RFC1650 |   RFC2358 | Kastenholz, F., "Definitions of Managed Objects for the Ethernet-like Interface Types using SMIv2", RFC 1650, August 1994.
RFC1651 |   RFC1869 | Klensin, J., Freed, N., Rose, M., Stefferud, E., and D. Crocker, "SMTP Service Extensions", RFC 1651, July 1994.
RFC1652 |   RFC6152 | Klensin, J., Freed, N., Rose, M., Stefferud, E., and D. Crocker, "SMTP Service Extension for 8bit-MIMEtransport", RFC 1652, July 1994.
RFC1653 |   RFC1870 | Klensin, J., Freed, N., and K. Moore, "SMTP Service Extension for Message Size Declaration", RFC 1653, July 1994.
RFC1654 |   RFC1771 | Rekhter, Y., Ed., and T. Li, Ed., "A Border Gateway Protocol 4 (BGP-4)", RFC 1654, July 1994.
RFC1655 |   RFC1772 | Rekhter, Y., Ed., and P. Gross, Ed., "Application of the Border Gateway Protocol in the Internet", RFC 1655, July 1994.
RFC1656 |   RFC1773 | Traina, P., "BGP-4 Protocol Document Roadmap and Implementation Experience", RFC 1656, July 1994.
RFC1657 |   RFC4273 | Willis, S., Burruss, J., and J. Chu, Ed., "Definitions of Managed Objects for the Fourth Version of the Border Gateway Protocol (BGP-4) using SMIv2", RFC 1657, July 1994.
RFC1658 |           | Stewart, B., "Definitions of Managed Objects for Character Stream Devices using SMIv2", RFC 1658, July 1994.
RFC1659 |           | Stewart, B., "Definitions of Managed Objects for RS-232-like Hardware Devices using SMIv2", RFC 1659, July 1994.
RFC1660 |           | Stewart, B., "Definitions of Managed Objects for Parallel-printer-like Hardware Devices using SMIv2", RFC 1660, July 1994.
RFC1661 |           | Simpson, W., Ed., "The Point-to-Point Protocol (PPP)", STD 51, RFC 1661, July 1994.
RFC1662 |           | Simpson, W., Ed., "PPP in HDLC-like Framing", STD 51, RFC 1662, July 1994.
RFC1663 |           | Rand, D., "PPP Reliable Transmission", RFC 1663, July 1994.
RFC1664 |   RFC2163 | Allocchio, C., Bonito, A., Cole, B., Giordano, S., and R. Hagens, "Using the Internet DNS to Distribute RFC1327 Mail Address Mapping Tables", RFC 1664, August 1994.
RFC1665 |   RFC1666 | Kielczewski, Z., Ed., Kostick, D., Ed., and K. Shih, Ed., "Definitions of Managed Objects for SNA NAUs using SMIv2", RFC 1665, July 1994.
RFC1666 |           | Kielczewski, Z., Ed., Kostick, D., Ed., and K. Shih, Ed., "Definitions of Managed Objects for SNA NAUs using SMIv2", RFC 1666, August 1994.
RFC1667 |           | Symington, S., Wood, D., and M. Pullen, "Modeling and Simulation Requirements for IPng", RFC 1667, August 1994.
RFC1668 |           | Estrin, D., Li, T., and Y. Rekhter, "Unified Routing Requirements for IPng", RFC 1668, August 1994.
RFC1669 |           | Curran, J., "Market Viability as a IPng Criteria", RFC 1669, August 1994.
RFC1670 |           | Heagerty, D., "Input to IPng Engineering Considerations", RFC 1670, August 1994.
RFC1671 |           | Carpenter, B., "IPng White Paper on Transition and Other Considerations", RFC 1671, August 1994.
RFC1672 |           | Brownlee, N., "Accounting Requirements for IPng", RFC 1672, August 1994.
RFC1673 |           | Skelton, R., "Electric Power Research Institute Comments on IPng", RFC 1673, August 1994.
RFC1674 |           | Taylor, M., "A Cellular Industry View of IPng", RFC 1674, August 1994.
RFC1675 |           | Bellovin, S., "Security Concerns for IPng", RFC 1675, August 1994.
RFC1676 |           | Ghiselli, A., Salomoni, D., and C. Vistoli, "INFN Requirements for an IPng", RFC 1676, August 1994.
RFC1677 |           | Adamson, B., "Tactical Radio Frequency Communication Requirements for IPng", RFC 1677, August 1994.
RFC1678 |           | Britton, E. and J. Tavs, "IPng Requirements of Large Corporate Networks", RFC 1678, August 1994.
RFC1679 |           | Green, D., Irey, P., Marlow, D., and K. O'Donoghue, "HPN Working Group Input to the IPng Requirements Solicitation", RFC 1679, August 1994.
RFC1680 |           | Brazdziunas, C., "IPng Support for ATM Services", RFC 1680, August 1994.
RFC1681 |           | Bellovin, S., "On Many Addresses per Host", RFC 1681, August 1994.
RFC1682 |           | Bound, J., "IPng BSD Host Implementation Analysis", RFC 1682, August 1994.
RFC1683 |           | Clark, R., Ammar, M., and K. Calvert, "Multiprotocol Interoperability In IPng", RFC 1683, August 1994.
RFC1684 |           | Jurg, P., "Introduction to White Pages Services based on X.500", RFC 1684, August 1994.
RFC1685 |           | Alvestrand, H., "Writing X.400 O/R Names", RTR 12, RFC 1685, August 1994.
RFC1686 |           | Vecchi, M., "IPng Requirements: A Cable Television Industry Viewpoint", RFC 1686, August 1994.
RFC1687 |           | Fleischman, E., "A Large Corporate User's View of IPng", RFC 1687, August 1994.
RFC1688 |           | Simpson, W., "IPng Mobility Considerations", RFC 1688, August 1994.
RFC1689 |           | Foster, J., Ed., "A Status Report on Networked Information Retrieval: Tools and Groups", FYI 25, RFC 1689, August 1994.
RFC1690 |           | Huston, G., "Introducing the Internet Engineering and Planning Group (IEPG)", RFC 1690, August 1994.
RFC1691 |           | Turner, W., "The Document Architecture for the Cornell Digital Library", RFC 1691, August 1994.
RFC1692 |           | Cameron, P., Crocker, D., Cohen, D., and J. Postel, "Transport Multiplexing Protocol (TMux)", RFC 1692, August 1994.
RFC1693 |   RFC6247 | Connolly, T., Amer, P., and P. Conrad, "An Extension to TCP : Partial Order Service", RFC 1693, November 1994.
RFC1694 |           | Brown, T., Ed., and K. Tesink, Ed., "Definitions of Managed Objects for SMDS Interfaces using SMIv2", RFC 1694, August 1994.
RFC1695 |   RFC2515 | Ahmed, M., Ed., and K. Tesink, Ed., "Definitions of Managed Objects for ATM Management Version 8.0 using SMIv2", RFC 1695, August 1994.
RFC1696 |           | Barnes, J., Brown, L., Royston, R., and S. Waldbusser, "Modem Management Information Base (MIB) using SMIv2", RFC 1696, August 1994.
RFC1697 |           | Brower, D., Ed., Purvy, B., Daniel, A., Sinykin, M., and J. Smith, "Relational Database Management System (RDBMS) Management Information Base (MIB) using SMIv2", RFC 1697, August 1994.
RFC1698 |           | Furniss, P., "Octet Sequences for Upper-Layer OSI to Support Basic Communications Applications", RFC 1698, October 1994.
RFC1699 |           | Elliott, J., "Summary of 1600-1699", RFC 1699, January 1997.
RFC1700 |   RFC3232 | Reynolds, J. and J. Postel, "Assigned Numbers", RFC 1700, October 1994.
RFC1701 |           | Hanks, S., Li, T., Farinacci, D., and P. Traina, "Generic Routing Encapsulation (GRE)", RFC 1701, October 1994.
RFC1702 |           | Hanks, S., Li, T., Farinacci, D., and P. Traina, "Generic Routing Encapsulation over IPv4 networks", RFC 1702, October 1994.
RFC1703 |           | Rose, M., "Principles of Operation for the TPC.INT Subdomain: Radio Paging -- Technical Procedures", RFC 1703, October 1994.
RFC1704 |           | Haller, N. and R. Atkinson, "On Internet Authentication", RFC 1704, October 1994.
RFC1705 |           | Carlson, R. and D. Ficarella, "Six Virtual Inches to the Left: The Problem with IPng", RFC 1705, October 1994.
RFC1706 |           | Manning, B. and R. Colella, "DNS NSAP Resource Records", RFC 1706, October 1994.
RFC1707 |           | McGovern, M. and R. Ullmann, "CATNIP: Common Architecture for the Internet", RFC 1707, October 1994.
RFC1708 |           | Gowin, D., "NTP PICS PROFORMA - For the Network Time Protocol Version 3", RFC 1708, October 1994.
RFC1709 |           | Gargano, J. and D. Wasley, "K-12 Internetworking Guidelines", FYI 26, RFC 1709, November 1994.
RFC1710 |           | Hinden, R., "Simple Internet Protocol Plus White Paper", RFC 1710, October 1994.
RFC1711 |           | Houttuin, J., "Classifications in E-mail Routing", RFC 1711, October 1994.
RFC1712 |           | Farrell, C., Schulze, M., Pleitner, S., and D. Baldoni, "DNS Encoding of Geographical Location", RFC 1712, November 1994.
RFC1713 |           | Romao, A., "Tools for DNS debugging", FYI 27, RFC 1713, November 1994.
RFC1714 |   RFC2167 | Williamson, S. and M. Kosters, "Referral Whois Protocol (RWhois)", RFC 1714, November 1994.
RFC1715 |           | Huitema, C., "The H Ratio for Address Assignment Efficiency", RFC 1715, November 1994.
RFC1716 |   RFC1812 | Almquist, P. and F. Kastenholz, "Towards Requirements for IP Routers", RFC 1716, November 1994.
RFC1717 |   RFC1990 | Sklower, K., Lloyd, B., McGregor, G., and D. Carr, "The PPP Multilink Protocol (MP)", RFC 1717, November 1994.
RFC1718 |   RFC3160 | IETF Secretariat and G. Malkin, "The Tao of IETF - A Guide for New Attendees of the Internet Engineering Task Force", RFC 1718, November 1994.
RFC1719 |           | Gross, P., "A Direction for IPng", RFC 1719, December 1994.
RFC1720 |   RFC1780 | Postel, J., "Internet Official Protocol Standards", RFC 1720, November 1994.
RFC1721 |           | Malkin, G., "RIP Version 2 Protocol Analysis", RFC 1721, November 1994.
RFC1722 |           | Malkin, G., "RIP Version 2 Protocol Applicability Statement", STD 57, RFC 1722, November 1994.
RFC1723 |   RFC2453 | Malkin, G., "RIP Version 2 - Carrying Additional Information", RFC 1723, November 1994.
RFC1724 |           | Malkin, G. and F. Baker, "RIP Version 2 MIB Extension", RFC 1724, November 1994.
RFC1725 |   RFC1939 | Myers, J. and M. Rose, "Post Office Protocol - Version 3", RFC 1725, November 1994.
RFC1726 |           | Partridge, C. and F. Kastenholz, "Technical Criteria for Choosing IP The Next Generation (IPng)", RFC 1726, December 1994.
RFC1727 |           | Weider, C. and P. Deutsch, "A Vision of an Integrated Internet Information Service", RFC 1727, December 1994.
RFC1728 |           | Weider, C., "Resource Transponders", RFC 1728, December 1994.
RFC1729 |           | Lynch, C., "Using the Z39.50 Information Retrieval Protocol", RFC 1729, December 1994.
RFC1730 |   RFC2060, RFC2061 | Crispin, M., "Internet Message Access Protocol - Version 4", RFC 1730, December 1994.
RFC1731 |           | Myers, J., "IMAP4 Authentication Mechanisms", RFC 1731, December 1994.
RFC1732 |           | Crispin, M., "IMAP4 Compatibility with IMAP2 and IMAP2bis", RFC 1732, December 1994.
RFC1733 |           | Crispin, M., "Distributed Electronic Mail Models in IMAP4", RFC 1733, December 1994.
RFC1734 |   RFC5034 | Myers, J., "POP3 AUTHentication command", RFC 1734, December 1994.
RFC1735 |           | Heinanen, J. and R. Govindan, "NBMA Address Resolution Protocol (NARP)", RFC 1735, December 1994.
RFC1736 |           | Kunze, J., "Functional Recommendations for Internet Resource Locators", RFC 1736, February 1995.
RFC1737 |           | Sollins, K. and L. Masinter, "Functional Requirements for Uniform Resource Names", RFC 1737, December 1994.
RFC1738 |   RFC4248, RFC4266 | Berners-Lee, T., Masinter, L., and M. McCahill, "Uniform Resource Locators (URL)", RFC 1738, December 1994.
RFC1739 |   RFC2151 | Kessler, G. and S. Shepard, "A Primer On Internet and TCP/IP Tools", RFC 1739, December 1994.
RFC1740 |           | Faltstrom, P., Crocker, D., and E. Fair, "MIME Encapsulation of Macintosh Files - MacMIME", RFC 1740, December 1994.
RFC1741 |           | Faltstrom, P., Crocker, D., and E. Fair, "MIME Content Type for BinHex Encoded Files", RFC 1741, December 1994.
RFC1742 |           | Waldbusser, S. and K. Frisa, "AppleTalk Management Information Base II", RFC 1742, January 1995.
RFC1743 |   RFC1748 | McCloghrie, K. and E. Decker, "IEEE 802.5 MIB using SMIv2", RFC 1743, December 1994.
RFC1744 |           | Huston, G., "Observations on the Management of the Internet Address Space", RFC 1744, December 1994.
RFC1745 |           | Varadhan, K., Hares, S., and Y. Rekhter, "BGP4/IDRP for IP---OSPF Interaction", RFC 1745, December 1994.
RFC1746 |           | Manning, B. and D. Perkins, "Ways to Define User Expectations", RFC 1746, December 1994.
RFC1747 |           | Hilgeman, J., Chair, Nix, S., Bartky, A., and W. Clark, Ed., "Definitions of Managed Objects for SNA Data Link Control (SDLC) using SMIv2", RFC 1747, January 1995.
RFC1748 |           | McCloghrie, K. and E. Decker, "IEEE 802.5 MIB using SMIv2", RFC 1748, December 1994.
RFC1749 |           | McCloghrie, K., Baker, F., and E. Decker, "IEEE 802.5 Station Source Routing MIB using SMIv2", RFC 1749, December 1994.
RFC1750 |   RFC4086 | Eastlake 3rd, D., Crocker, S., and J. Schiller, "Randomness Recommendations for Security", RFC 1750, December 1994.
RFC1751 |           | McDonald, D., "A Convention for Human-Readable 128-bit Keys", RFC 1751, December 1994.
RFC1752 |           | Bradner, S. and A. Mankin, "The Recommendation for the IP Next Generation Protocol", RFC 1752, January 1995.
RFC1753 |           | Chiappa, N., "IPng Technical Requirements Of the Nimrod Routing and Addressing Architecture", RFC 1753, December 1994.
RFC1754 |           | Laubach, M., "IP over ATM Working Group's Recommendations for the ATM Forum's Multiprotocol BOF Version 1", RFC 1754, January 1995.
RFC1755 |           | Perez, M., Liaw, F., Mankin, A., Hoffman, E., Grossman, D., and A. Malis, "ATM Signaling Support for IP over ATM", RFC 1755, February 1995.
RFC1756 |           | Rinne, T., "Remote Write Protocol - Version 1.0", RFC 1756, January 1995.
RFC1757 |   RFC2819 | Waldbusser, S., "Remote Network Monitoring Management Information Base", RFC 1757, February 1995.
RFC1758 |           | The North American Directory Forum, "NADF Standing Documents: A Brief Overview", RFC 1758, February 1995.
RFC1759 |   RFC3805 | Smith, R., Wright, F., Hastings, T., Zilles, S., and J. Gyllenskog, "Printer MIB", RFC 1759, March 1995.
RFC1760 |           | Haller, N., "The S/KEY One-Time Password System", RFC 1760, February 1995.
RFC1761 |           | Callaghan, B. and R. Gilligan, "Snoop Version 2 Packet Capture File Format", RFC 1761, February 1995.
RFC1762 |           | Senum, S., "The PPP DECnet Phase IV Control Protocol (DNCP)", RFC 1762, March 1995.
RFC1763 |           | Senum, S., "The PPP Banyan Vines Control Protocol (BVCP)", RFC 1763, March 1995.
RFC1764 |           | Senum, S., "The PPP XNS IDP Control Protocol (XNSCP)", RFC 1764, March 1995.
RFC1765 |           | Moy, J., "OSPF Database Overflow", RFC 1765, March 1995.
RFC1766 |   RFC3066, RFC3282 | Alvestrand, H., "Tags for the Identification of Languages", RFC 1766, March 1995.
RFC1767 |           | Crocker, D., "MIME Encapsulation of EDI Objects", RFC 1767, March 1995.
RFC1768 |           | Marlow, D., "Host Group Extensions for CLNP Multicasting", RFC 1768, March 1995.
RFC1769 |   RFC2030, RFC4330 | Mills, D., "Simple Network Time Protocol (SNTP)", RFC 1769, March 1995.
RFC1770 |           | Graff, C., "IPv4 Option for Sender Directed Multi-Destination Delivery", RFC 1770, March 1995.
RFC1771 |   RFC4271 | Rekhter, Y. and T. Li, "A Border Gateway Protocol 4 (BGP-4)", RFC 1771, March 1995.
RFC1772 |           | Rekhter, Y. and P. Gross, "Application of the Border Gateway Protocol in the Internet", RFC 1772, March 1995.
RFC1773 |           | Traina, P., "Experience with the BGP-4 protocol", RFC 1773, March 1995.
RFC1774 |           | Traina, P., Ed., "BGP-4 Protocol Analysis", RFC 1774, March 1995.
RFC1775 |           | Crocker, D., "To Be "On" the Internet", RFC 1775, March 1995.
RFC1776 |           | Crocker, S., "The Address is the Message", RFC 1776, April 1 1995.
RFC1777 |   RFC3494 | Yeong, W., Howes, T., and S. Kille, "Lightweight Directory Access Protocol", RFC 1777, March 1995.
RFC1778 |   RFC3494 | Howes, T., Kille, S., Yeong, W., and C. Robbins, "The String Representation of Standard Attribute Syntaxes", RFC 1778, March 1995.
RFC1779 |   RFC2253, RFC3494 | Kille, S., "A String Representation of Distinguished Names", RFC 1779, March 1995.
RFC1780 |   RFC1800 | Postel, J., Ed., "Internet Official Protocol Standards", RFC 1780, March 1995.
RFC1781 |   RFC3494 | Kille, S., "Using the OSI Directory to Achieve User Friendly Naming", RFC 1781, March 1995.
RFC1782 |   RFC2347 | Malkin, G. and A. Harkin, "TFTP Option Extension", RFC 1782, March 1995.
RFC1783 |   RFC2348 | Malkin, G. and A. Harkin, "TFTP Blocksize Option", RFC 1783, March 1995.
RFC1784 |   RFC2349 | Malkin, G. and A. Harkin, "TFTP Timeout Interval and Transfer Size Options", RFC 1784, March 1995.
RFC1785 |           | Malkin, G. and A. Harkin, "TFTP Option Negotiation Analysis", RFC 1785, March 1995.
RFC1786 |           | Bates, T., Gerich, E., Joncheray, L., Jouanigot, J-M., Karrenberg, D., Terpstra, M., and J. Yu, "Representation of IP Routing Policies in a Routing Registry (ripe-81++)", RFC 1786, March 1995.
RFC1787 |           | Rekhter, Y., "Routing in a Multi-provider Internet", RFC 1787, April 1995.
RFC1788 |           | Simpson, W., "ICMP Domain Name Messages", RFC 1788, April 1995.
RFC1789 |           | Yang, C., "INETPhone: Telephone Services and Servers on Internet", RFC 1789, April 1995.
RFC1790 |           | Cerf, V., "An Agreement between the Internet Society and Sun Microsystems, Inc. in the Matter of ONC RPC and XDR Protocols", RFC 1790, April 1995.
RFC1791 |           | Sung, T., "TCP And UDP Over IPX Networks With Fixed Path MTU", RFC 1791, April 1995.
RFC1792 |           | Sung, T., "TCP/IPX Connection Mib Specification", RFC 1792, April 1995.
RFC1793 |           | Moy, J., "Extending OSPF to Support Demand Circuits", RFC 1793, April 1995.
RFC1794 |           | Brisco, T., "DNS Support for Load Balancing", RFC 1794, April 1995.
RFC1795 |           | Wells, L., Chair, and A. Bartky, Ed., "Data Link Switching: Switch-to-Switch Protocol AIW DLSw RIG: DLSw Closed Pages, DLSw Standard Version 1", RFC 1795, April 1995.
